                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3247,                 3.3887,                 1.7687,                  0.004,                      1,                0.15502,                0.04736,                 1.3236,                 4.2198,                 2.1523,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 1.3001,                 3.4354,                 1.7294,                0.00416,                      1,                0.15633,                0.03822,                 1.2903,                  4.164,                  2.093,             3.7129e-05,             3.7129e-05,             3.7129e-05
                      3,                 1.1266,                 3.3365,                 1.5326,                0.00459,                      1,                0.10448,                0.03872,                 1.2702,                 4.1701,                 2.0381,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      4,                 1.1754,                 3.2944,                 1.6608,                0.00544,                      1,                0.12315,                0.06895,                 1.2256,                 4.2646,                 2.0065,             8.4901e-05,             8.4901e-05,             8.4901e-05
                      5,                 1.1181,                 3.1909,                 1.5458,                0.00681,                      1,                0.14088,                0.08996,                 1.0505,                 4.1835,                 1.9874,             0.00010804,             0.00010804,             0.00010804
                      6,                0.97251,                 3.0843,                 1.5133,                0.00858,                      1,                0.17696,                0.10452,                 1.0093,                 4.2136,                 2.1104,             0.00013069,             0.00013069,             0.00013069
                      7,                0.87248,                 2.8737,                 1.4605,                0.00967,                      1,                0.20643,                0.10712,                  1.051,                 4.1501,                 2.1199,             0.00015285,             0.00015285,             0.00015285
                      8,                 1.1795,                 2.9055,                 1.5781,                0.01005,                      1,                0.25811,                0.12758,                 1.1652,                 4.1441,                 2.1249,             0.00017451,             0.00017451,             0.00017451
                      9,                0.97275,                 2.7166,                 1.5007,                0.01073,                      1,                0.29998,                0.15564,                 1.1942,                 4.1173,                 2.0665,             0.00019567,             0.00019567,             0.00019567
                     10,                0.99407,                  2.417,                 1.3891,                0.01009,                      1,                0.31743,                0.16455,                 1.1466,                 4.0664,                 1.9823,             0.00021634,             0.00021634,             0.00021634
                     11,                0.82968,                 2.7729,                 1.4472,                0.00999,                      1,                0.32112,                 0.1797,                 1.1174,                 4.0532,                 1.9326,             0.00023651,             0.00023651,             0.00023651
                     12,                0.96235,                 2.3328,                 1.4762,                0.01008,                      1,                  0.413,                0.23048,                 1.0709,                 3.8832,                 1.9065,             0.00025619,             0.00025619,             0.00025619
                     13,                0.96557,                 2.2792,                 1.4458,                0.01023,                      1,                0.40701,                0.22157,                0.98772,                 3.8124,                   1.84,             0.00027538,             0.00027538,             0.00027538
                     14,                0.88333,                 2.2304,                 1.3854,                0.01138,                      1,                 0.3746,                0.18376,                 1.0736,                 3.8676,                 1.8441,             0.00029406,             0.00029406,             0.00029406
                     15,                 1.0288,                 2.2236,                 1.4638,                0.01218,                      1,                0.24309,                0.12091,                 1.4339,                  4.118,                 2.2729,             0.00031226,             0.00031226,             0.00031226
                     16,                0.98575,                 2.1956,                 1.4983,                0.01288,                0.88889,                0.18657,                0.10258,                 2.2425,                 4.5531,                 3.1358,             0.00032996,             0.00032996,             0.00032996
                     17,                0.85872,                 1.9721,                 1.3981,                0.00864,                0.66667,                0.13789,                0.10085,                 2.5307,                 4.6975,                 3.4767,             0.00034716,             0.00034716,             0.00034716
                     18,                 0.8846,                 1.8701,                 1.3697,                0.01428,                0.88889,                0.18964,                0.09902,                 2.2633,                 4.5996,                 3.1342,             0.00036387,             0.00036387,             0.00036387
                     19,                0.92999,                 1.9444,                 1.4156,                0.01337,                0.88889,                0.30452,                0.19101,                 1.4026,                  4.257,                 2.2798,             0.00038008,             0.00038008,             0.00038008
                     20,                 0.8619,                  1.846,                  1.373,                0.01588,                      1,                0.35768,                0.22485,                  1.114,                 3.7345,                 2.0025,              0.0003958,              0.0003958,              0.0003958
                     21,                0.96421,                 1.9318,                 1.3672,                0.01537,                      1,                0.44111,                0.30792,                 1.1171,                 3.4678,                 1.9918,             0.00041103,             0.00041103,             0.00041103
